"Time","Disposable Camera"
"2010-01-01",19
"2010-02-01",19
"2010-03-01",18
"2010-04-01",22
"2010-05-01",24
"2010-06-01",27
"2010-07-01",29
"2010-08-01",25
"2010-09-01",19
"2010-10-01",18
"2010-11-01",15
"2010-12-01",13
"2011-01-01",17
"2011-02-01",16
"2011-03-01",18
"2011-04-01",20
"2011-05-01",24
"2011-06-01",26
"2011-07-01",28
"2011-08-01",25
"2011-09-01",21
"2011-10-01",17
"2011-11-01",15
"2011-12-01",13
"2012-01-01",18
"2012-02-01",18
"2012-03-01",18
"2012-04-01",21
"2012-05-01",23
"2012-06-01",26
"2012-07-01",26
"2012-08-01",25
"2012-09-01",21
"2012-10-01",17
"2012-11-01",16
"2012-12-01",15
"2013-01-01",16
"2013-02-01",16
"2013-03-01",19
"2013-04-01",20
"2013-05-01",21
"2013-06-01",26
"2013-07-01",24
"2013-08-01",23
"2013-09-01",19
"2013-10-01",17
"2013-11-01",14
"2013-12-01",14
"2014-01-01",17
"2014-02-01",19
"2014-03-01",21
"2014-04-01",20
"2014-05-01",24
"2014-06-01",26
"2014-07-01",26
"2014-08-01",26
"2014-09-01",19
"2014-10-01",17
"2014-11-01",16
"2014-12-01",15
"2015-01-01",19
"2015-02-01",18
"2015-03-01",20
"2015-04-01",21
"2015-05-01",24
"2015-06-01",25
"2015-07-01",25
"2015-08-01",23
"2015-09-01",20
"2015-10-01",17
"2015-11-01",16
"2015-12-01",16
"2016-01-01",18
"2016-02-01",18
"2016-03-01",18
"2016-04-01",21
"2016-05-01",24
"2016-06-01",26
"2016-07-01",24
"2016-08-01",23
"2016-09-01",20
"2016-10-01",19
"2016-11-01",15
"2016-12-01",15
"2017-01-01",17
"2017-02-01",19
"2017-03-01",19
"2017-04-01",20
"2017-05-01",24
"2017-06-01",26
"2017-07-01",27
"2017-08-01",24
"2017-09-01",22
"2017-10-01",19
"2017-11-01",19
"2017-12-01",19
"2018-01-01",22
"2018-02-01",20
"2018-03-01",24
"2018-04-01",25
"2018-05-01",32
"2018-06-01",34
"2018-07-01",33
"2018-08-01",27
"2018-09-01",20
"2018-10-01",21
"2018-11-01",19
"2018-12-01",21
"2019-01-01",22
"2019-02-01",21
"2019-03-01",25
"2019-04-01",26
"2019-05-01",33
"2019-06-01",49
"2019-07-01",54
"2019-08-01",52
"2019-09-01",46
"2019-10-01",38
"2019-11-01",44
"2019-12-01",59
"2020-01-01",47
"2020-02-01",44
"2020-03-01",35
"2020-04-01",25
"2020-05-01",30
"2020-06-01",37
"2020-07-01",46
"2020-08-01",42
"2020-09-01",40
"2020-10-01",38
"2020-11-01",41
"2020-12-01",58
"2021-01-01",45
"2021-02-01",40
"2021-03-01",49
"2021-04-01",53
"2021-05-01",62
"2021-06-01",79
"2021-07-01",73
"2021-08-01",69
"2021-09-01",56
"2021-10-01",51
"2021-11-01",57
"2021-12-01",70
"2022-01-01",62
"2022-02-01",61
"2022-03-01",74
"2022-04-01",80
"2022-05-01",91
"2022-06-01",100
"2022-07-01",91
"2022-08-01",75
"2022-09-01",54
"2022-10-01",51
"2022-11-01",51
"2022-12-01",61
"2023-01-01",57
"2023-02-01",49
"2023-03-01",54
"2023-04-01",55
"2023-05-01",63
"2023-06-01",72
"2023-07-01",66
"2023-08-01",57
"2023-09-01",47
"2023-10-01",43
"2023-11-01",50
"2023-12-01",58
"2024-01-01",52
"2024-02-01",52
"2024-03-01",55
"2024-04-01",61
"2024-05-01",74
"2024-06-01",73
"2024-07-01",71
"2024-08-01",64
"2024-09-01",53
"2024-10-01",54
"2024-11-01",58
"2024-12-01",75
"2025-01-01",58
"2025-02-01",55
"2025-03-01",60
"2025-04-01",61
"2025-05-01",72
"2025-06-01",79
"2025-07-01",75
"2025-08-01",73
"2025-09-01",59
"2025-10-01",55
"2025-11-01",53
"2025-12-01",64
"2026-01-01",53
"2026-02-01",51
"2026-03-01",58
"2026-04-01",62
"2026-05-01",72
"2026-06-01",74